total_successes,total_minutes_saved
34,9928
31,9052
34,9928
33,9636
31,9052
32,9344
33,9636
27,7884
31,9052
30,8760
34,9928
30,8760
32,9344
32,9344
33,9636
31,9052
32,9344
32,9344
33,9636
33,9636
31,9052
27,7884
31,9052
33,9636
32,9344
33,9636
33,9636
32,9344
29,8468
32,9344
33,9636
30,8760
33,9636
30,8760
31,9052
29,8468
32,9344
30,8760
31,9052
29,8468
32,9344
32,9344
33,9636
30,8760
29,8468
31,9052
31,9052
33,9636
35,10220
32,9344
31,9052
29,8468
33,9636
31,9052
31,9052
30,8760
33,9636
31,9052
29,8468
33,9636
31,9052
32,9344
28,8176
29,8468
33,9636
32,9344
32,9344
34,9928
33,9636
31,9052
33,9636
32,9344
31,9052
29,8468
33,9636
30,8760
29,8468
31,9052
33,9636
31,9052
29,8468
35,10220
31,9052
32,9344
32,9344
29,8468
31,9052
32,9344
30,8760
33,9636
34,9928
34,9928
32,9344
31,9052
32,9344
31,9052
34,9928
31,9052
29,8468
29,8468
27,7884
33,9636
33,9636
33,9636
33,9636
30,8760
31,9052
30,8760
31,9052
32,9344
31,9052
33,9636
28,8176
28,8176
32,9344
33,9636
34,9928
31,9052
31,9052
30,8760
32,9344
29,8468
32,9344
33,9636
33,9636
35,10220
32,9344
31,9052
30,8760
34,9928
34,9928
29,8468
31,9052
34,9928
33,9636
31,9052
32,9344
31,9052
30,8760
34,9928
32,9344
31,9052
31,9052
34,9928
32,9344
31,9052
32,9344
30,8760
32,9344
29,8468
34,9928
32,9344
32,9344
33,9636
28,8176
31,9052
27,7884
30,8760
33,9636
31,9052
33,9636
28,8176
30,8760
33,9636
33,9636
29,8468
33,9636
32,9344
33,9636
31,9052
27,7884
32,9344
34,9928
33,9636
31,9052
30,8760
32,9344
32,9344
33,9636
33,9636
28,8176
32,9344
29,8468
29,8468
31,9052
33,9636
33,9636
33,9636
32,9344
28,8176
31,9052
30,8760
33,9636
32,9344
31,9052
34,9928
32,9344
34,9928
27,7884
30,8760
34,9928
31,9052
27,7884
31,9052
32,9344
31,9052
35,10220
31,9052
31,9052
28,8176
32,9344
32,9344
32,9344
32,9344
31,9052
29,8468
30,8760
31,9052
31,9052
32,9344
32,9344
30,8760
31,9052
32,9344
34,9928
29,8468
34,9928
33,9636
27,7884
30,8760
30,8760
34,9928
31,9052
28,8176
29,8468
31,9052
31,9052
33,9636
32,9344
33,9636
28,8176
33,9636
29,8468
34,9928
31,9052
33,9636
30,8760
34,9928
32,9344
32,9344
33,9636
33,9636
34,9928
33,9636
31,9052
34,9928
31,9052
33,9636
33,9636
31,9052
33,9636
29,8468
32,9344
34,9928
33,9636
28,8176
29,8468
32,9344
33,9636
31,9052
30,8760
31,9052
30,8760
31,9052
29,8468
32,9344
29,8468
32,9344
32,9344
28,8176
33,9636
33,9636
29,8468
34,9928
33,9636
31,9052
33,9636
33,9636
31,9052
34,9928
29,8468
29,8468
31,9052
30,8760
32,9344
32,9344
33,9636
31,9052
33,9636
32,9344
31,9052
30,8760
34,9928
33,9636
31,9052
31,9052
33,9636
32,9344
33,9636
30,8760
32,9344
33,9636
31,9052
33,9636
30,8760
33,9636
30,8760
29,8468
31,9052
32,9344
33,9636
29,8468
32,9344
34,9928
32,9344
30,8760
32,9344
35,10220
35,10220
34,9928
32,9344
32,9344
30,8760
33,9636
33,9636
31,9052
31,9052
33,9636
31,9052
33,9636
33,9636
31,9052
30,8760
33,9636
31,9052
33,9636
30,8760
33,9636
33,9636
31,9052
33,9636
29,8468
30,8760
32,9344
29,8468
30,8760
28,8176
34,9928
32,9344
34,9928
33,9636
31,9052
28,8176
33,9636
33,9636
31,9052
32,9344
30,8760
31,9052
32,9344
32,9344
31,9052
31,9052
33,9636
33,9636
30,8760
34,9928
33,9636
30,8760
33,9636
31,9052
34,9928
32,9344
34,9928
34,9928
33,9636
31,9052
27,7884
31,9052
29,8468
33,9636
33,9636
30,8760
34,9928
33,9636
32,9344
30,8760
32,9344
29,8468
35,10220
29,8468
33,9636
35,10220
33,9636
32,9344
31,9052
31,9052
30,8760
33,9636
33,9636
32,9344
30,8760
34,9928
33,9636
29,8468
34,9928
31,9052
34,9928
30,8760
32,9344
33,9636
30,8760
30,8760
30,8760
31,9052
31,9052
31,9052
32,9344
33,9636
31,9052
30,8760
32,9344
33,9636
31,9052
31,9052
30,8760
28,8176
30,8760
34,9928
32,9344
31,9052
28,8176
31,9052
32,9344
30,8760
34,9928
33,9636
34,9928
31,9052
31,9052
30,8760
31,9052
32,9344
28,8176
30,8760
34,9928
31,9052
33,9636
30,8760
31,9052
30,8760
34,9928
31,9052
33,9636
33,9636
32,9344
34,9928
33,9636
30,8760
33,9636
31,9052
31,9052
32,9344
33,9636
29,8468
34,9928
32,9344
30,8760
32,9344
32,9344
28,8176
31,9052
32,9344
31,9052
33,9636
34,9928
33,9636
28,8176
31,9052
32,9344
34,9928
31,9052
32,9344
32,9344
32,9344
30,8760
31,9052
29,8468
33,9636
30,8760
33,9636
34,9928
33,9636
30,8760
30,8760
30,8760
32,9344
30,8760
34,9928
29,8468
29,8468
31,9052
32,9344
29,8468
32,9344
29,8468
31,9052
31,9052
28,8176
31,9052
30,8760
33,9636
34,9928
28,8176
33,9636
31,9052
35,10220
31,9052
30,8760
32,9344
30,8760
32,9344
31,9052
31,9052
30,8760
30,8760
31,9052
30,8760
31,9052
29,8468
33,9636
32,9344
34,9928
31,9052
31,9052
33,9636
31,9052
30,8760
31,9052
29,8468
34,9928
31,9052
30,8760
29,8468
31,9052
34,9928
31,9052
35,10220
32,9344
31,9052
29,8468
27,7884
33,9636
29,8468
31,9052
35,10220
31,9052
29,8468
31,9052
31,9052
33,9636
32,9344
31,9052
32,9344
29,8468
32,9344
31,9052
31,9052
33,9636
34,9928
30,8760
31,9052
35,10220
31,9052
34,9928
31,9052
33,9636
34,9928
31,9052
28,8176
34,9928
29,8468
32,9344
31,9052
34,9928
31,9052
29,8468
32,9344
26,7592
30,8760
32,9344
30,8760
29,8468
34,9928
32,9344
33,9636
32,9344
33,9636
30,8760
32,9344
28,8176
30,8760
29,8468
30,8760
33,9636
30,8760
29,8468
35,10220
32,9344
33,9636
34,9928
32,9344
30,8760
31,9052
34,9928
29,8468
32,9344
33,9636
29,8468
29,8468
33,9636
35,10220
31,9052
33,9636
33,9636
34,9928
32,9344
33,9636
32,9344
30,8760
33,9636
33,9636
29,8468
31,9052
32,9344
31,9052
28,8176
30,8760
33,9636
27,7884
31,9052
28,8176
30,8760
31,9052
33,9636
34,9928
29,8468
31,9052
29,8468
33,9636
30,8760
30,8760
31,9052
28,8176
33,9636
32,9344
31,9052
34,9928
34,9928
33,9636
32,9344
34,9928
30,8760
30,8760
33,9636
31,9052
33,9636
34,9928
31,9052
32,9344
33,9636
27,7884
32,9344
31,9052
30,8760
32,9344
27,7884
34,9928
31,9052
32,9344
32,9344
34,9928
34,9928
33,9636
31,9052
32,9344
32,9344
31,9052
33,9636
31,9052
30,8760
31,9052
31,9052
32,9344
31,9052
33,9636
34,9928
30,8760
30,8760
31,9052
30,8760
30,8760
34,9928
30,8760
27,7884
31,9052
31,9052
31,9052
29,8468
30,8760
35,10220
35,10220
31,9052
32,9344
30,8760
32,9344
34,9928
34,9928
31,9052
31,9052
33,9636
30,8760
28,8176
31,9052
30,8760
33,9636
33,9636
28,8176
31,9052
29,8468
26,7592
33,9636
31,9052
30,8760
29,8468
32,9344
34,9928
33,9636
30,8760
34,9928
29,8468
34,9928
32,9344
32,9344
29,8468
34,9928
30,8760
29,8468
32,9344
30,8760
30,8760
31,9052
29,8468
32,9344
31,9052
32,9344
30,8760
31,9052
34,9928
32,9344
33,9636
30,8760
31,9052
34,9928
30,8760
33,9636
31,9052
29,8468
33,9636
31,9052
30,8760
33,9636
31,9052
30,8760
31,9052
31,9052
31,9052
31,9052
32,9344
30,8760
34,9928
33,9636
31,9052
33,9636
32,9344
31,9052
31,9052
33,9636
31,9052
31,9052
34,9928
33,9636
32,9344
29,8468
33,9636
32,9344
31,9052
30,8760
32,9344
32,9344
32,9344
34,9928
32,9344
28,8176
35,10220
31,9052
32,9344
31,9052
31,9052
32,9344
29,8468
32,9344
33,9636
30,8760
31,9052
30,8760
30,8760
32,9344
31,9052
30,8760
31,9052
33,9636
33,9636
30,8760
31,9052
31,9052
35,10220
30,8760
30,8760
33,9636
31,9052
31,9052
29,8468
33,9636
34,9928
31,9052
34,9928
32,9344
32,9344
35,10220
34,9928
29,8468
31,9052
32,9344
30,8760
33,9636
28,8176
32,9344
33,9636
28,8176
29,8468
34,9928
32,9344
31,9052
31,9052
31,9052
32,9344
30,8760
35,10220
29,8468
33,9636
32,9344
31,9052
29,8468
32,9344
32,9344
32,9344
34,9928
32,9344
30,8760
34,9928
30,8760
30,8760
30,8760
31,9052
35,10220
28,8176
32,9344
33,9636
33,9636
30,8760
30,8760
31,9052
33,9636
25,7300
31,9052
32,9344
30,8760
33,9636
29,8468
33,9636
33,9636
30,8760
35,10220
31,9052
33,9636
30,8760
31,9052
32,9344
31,9052
34,9928
33,9636
26,7592
30,8760
32,9344
32,9344
32,9344
32,9344
30,8760
31,9052
32,9344
27,7884
31,9052
33,9636
31,9052
28,8176
34,9928
33,9636
33,9636
34,9928
28,8176
30,8760
29,8468
32,9344
28,8176
32,9344
32,9344
29,8468
31,9052
31,9052
34,9928
29,8468
32,9344
34,9928
31,9052
31,9052
33,9636
30,8760
28,8176
33,9636
34,9928
34,9928
32,9344
31,9052
34,9928
34,9928
32,9344
32,9344
33,9636
32,9344
34,9928
34,9928
29,8468
32,9344
31,9052
28,8176
31,9052
33,9636
30,8760
33,9636
30,8760
33,9636
32,9344
33,9636
30,8760
31,9052
33,9636
33,9636
32,9344
33,9636
35,10220
31,9052
31,9052
31,9052
32,9344
32,9344
30,8760
33,9636
31,9052
32,9344
30,8760
33,9636
30,8760
33,9636
30,8760
32,9344
33,9636
30,8760
32,9344
29,8468
28,8176
31,9052
33,9636
32,9344
27,7884
28,8176
31,9052
32,9344
34,9928
32,9344
32,9344
33,9636
31,9052
32,9344
34,9928
32,9344
29,8468
33,9636
34,9928
32,9344
28,8176
34,9928
30,8760
33,9636
33,9636
30,8760
31,9052
29,8468
30,8760
33,9636
28,8176
33,9636
32,9344
32,9344
32,9344
32,9344
32,9344
31,9052
33,9636
30,8760
33,9636
29,8468
33,9636
30,8760
34,9928
33,9636
30,8760
31,9052
33,9636
29,8468
33,9636
32,9344
34,9928
32,9344
34,9928
32,9344
31,9052
31,9052
26,7592
34,9928
32,9344
30,8760
34,9928
28,8176
32,9344
34,9928
32,9344
29,8468
31,9052
32,9344
34,9928
31,9052
31,9052
29,8468
35,10220
30,8760
31,9052
31,9052
31,9052
31,9052
30,8760
33,9636
31,9052
33,9636
32,9344
28,8176
31,9052
31,9052
28,8176
30,8760
32,9344
31,9052
31,9052
27,7884
31,9052
33,9636
30,8760
33,9636
32,9344
34,9928
31,9052
31,9052
32,9344
30,8760
33,9636
27,7884
30,8760
33,9636
29,8468
32,9344
30,8760
32,9344
31,9052
32,9344
33,9636
31,9052
34,9928
29,8468
31,9052
30,8760
32,9344
30,8760
33,9636
31,9052
32,9344
29,8468
32,9344
31,9052
32,9344
34,9928
31,9052
30,8760
31,9052
29,8468
28,8176
34,9928
33,9636
30,8760
31,9052
31,9052
31,9052
31,9052
31,9052
30,8760
32,9344
34,9928
32,9344
32,9344
34,9928
32,9344
34,9928
31,9052
30,8760
32,9344
28,8176
33,9636
31,9052
32,9344
29,8468
32,9344
29,8468
29,8468
33,9636
33,9636
30,8760
30,8760
34,9928
31,9052
33,9636
30,8760
31,9052
34,9928
29,8468
32,9344
31,9052
33,9636
31,9052
29,8468
33,9636
32,9344
29,8468
32,9344
31,9052
31,9052
30,8760
29,8468
32,9344
30,8760
28,8176
33,9636
33,9636
32,9344
32,9344
33,9636
33,9636
35,10220
28,8176
32,9344
31,9052
29,8468
28,8176
29,8468
32,9344
30,8760
31,9052
31,9052
28,8176
31,9052
31,9052
32,9344
30,8760
28,8176
29,8468
32,9344
33,9636
31,9052
32,9344
33,9636
32,9344
33,9636
33,9636
28,8176
28,8176
33,9636
31,9052
31,9052
32,9344
32,9344
29,8468
32,9344
29,8468
33,9636
34,9928
29,8468
33,9636
29,8468
35,10220
32,9344
32,9344
33,9636
32,9344
33,9636
31,9052
34,9928
32,9344
31,9052
29,8468
33,9636
30,8760
33,9636
29,8468
32,9344
28,8176
34,9928
32,9344
29,8468
33,9636
33,9636
31,9052
31,9052
30,8760
32,9344
31,9052
30,8760
32,9344
32,9344
28,8176
31,9052
34,9928
29,8468
29,8468
30,8760
32,9344
33,9636
29,8468
29,8468
31,9052
32,9344
30,8760
32,9344
32,9344
33,9636
34,9928
33,9636
31,9052
31,9052
33,9636
31,9052
31,9052
31,9052
29,8468
32,9344
33,9636
34,9928
32,9344
29,8468
29,8468
32,9344
34,9928
33,9636
32,9344
32,9344
31,9052
33,9636
30,8760
34,9928
31,9052
30,8760
30,8760
31,9052
29,8468
33,9636
29,8468
28,8176
33,9636
29,8468
34,9928
31,9052
29,8468
33,9636
29,8468
31,9052
29,8468
32,9344
30,8760
32,9344
28,8176
32,9344
31,9052
33,9636
32,9344
34,9928
31,9052
31,9052
31,9052
33,9636
29,8468
34,9928
33,9636
32,9344
31,9052
29,8468
35,10220
31,9052
30,8760
30,8760
30,8760
27,7884
33,9636
33,9636
33,9636
28,8176
32,9344
34,9928
34,9928
29,8468
33,9636
33,9636
31,9052
32,9344
30,8760
31,9052
34,9928
30,8760
33,9636
33,9636
32,9344
30,8760
27,7884
30,8760
33,9636
31,9052
32,9344
34,9928
31,9052
31,9052
33,9636
30,8760
32,9344
30,8760
33,9636
33,9636
33,9636
35,10220
32,9344
31,9052
31,9052
34,9928
34,9928
31,9052
33,9636
31,9052
32,9344
30,8760
32,9344
33,9636
31,9052
31,9052
29,8468
31,9052
31,9052
30,8760
33,9636
33,9636
34,9928
32,9344
31,9052
31,9052
33,9636
29,8468
32,9344
33,9636
34,9928
31,9052
29,8468
32,9344
31,9052
32,9344
32,9344
34,9928
30,8760
31,9052
30,8760
31,9052
33,9636
27,7884
31,9052
35,10220
32,9344
32,9344
31,9052
32,9344
32,9344
33,9636
34,9928
28,8176
31,9052
33,9636
30,8760
32,9344
29,8468
31,9052
31,9052
33,9636
33,9636
32,9344
31,9052
30,8760
33,9636
34,9928
30,8760
34,9928
31,9052
31,9052
30,8760
31,9052
35,10220
31,9052
34,9928
31,9052
27,7884
33,9636
33,9636
31,9052
33,9636
33,9636
32,9344
31,9052
32,9344
26,7592
29,8468
35,10220
34,9928
34,9928
33,9636
29,8468
31,9052
32,9344
33,9636
32,9344
29,8468
28,8176
29,8468
31,9052
30,8760
31,9052
30,8760
33,9636
29,8468
33,9636
31,9052
30,8760
33,9636
33,9636
33,9636
33,9636
30,8760
33,9636
28,8176
32,9344
29,8468
35,10220
31,9052
33,9636
31,9052
32,9344
28,8176
32,9344
32,9344
32,9344
29,8468
30,8760
33,9636
33,9636
33,9636
31,9052
32,9344
34,9928
30,8760
31,9052
33,9636
34,9928
31,9052
33,9636
32,9344
34,9928
31,9052
30,8760
31,9052
30,8760
32,9344
34,9928
28,8176
30,8760
32,9344
34,9928
32,9344
35,10220
32,9344
34,9928
34,9928
34,9928
29,8468
31,9052
29,8468
32,9344
33,9636
32,9344
33,9636
34,9928
32,9344
30,8760
29,8468
34,9928
30,8760
32,9344
33,9636
31,9052
31,9052
32,9344
31,9052
29,8468
30,8760
32,9344
34,9928
31,9052
34,9928
35,10220
31,9052
29,8468
33,9636
29,8468
31,9052
33,9636
31,9052
30,8760
35,10220
30,8760
32,9344
29,8468
34,9928
32,9344
32,9344
33,9636
34,9928
34,9928
31,9052
30,8760
32,9344
32,9344
32,9344
34,9928
30,8760
33,9636
33,9636
34,9928
29,8468
32,9344
33,9636
32,9344
32,9344
32,9344
30,8760
32,9344
32,9344
35,10220
31,9052
32,9344
32,9344
30,8760
33,9636
33,9636
